Date,convexity,pnl
2005-12-08,,0.0
2005-12-09,,0.0
2005-12-12,,0.0
2005-12-13,,0.0
2005-12-14,,0.0
2005-12-15,,0.0
2005-12-16,,0.0
2005-12-19,,0.0
2005-12-20,,0.0
2005-12-21,,0.0
2005-12-22,,0.0
2005-12-23,,0.0
2005-12-27,,0.0
2005-12-28,,0.0
2005-12-29,,0.0
2005-12-30,,0.0
2006-01-03,0.0868344125752,0.0
2006-01-04,0.086415090773,0.0
2006-01-05,0.111120210897,0.0
2006-01-06,0.125909880875,0.0
2006-01-09,0.12866398974,0.0
2006-01-10,0.123585883285,0.0
2006-01-11,0.0949177071086,0.0
2006-01-12,,0.0
2006-01-13,,0.0
2006-01-17,,0.0
2006-01-18,,0.0
2006-01-19,0.139959538764,0.0
2006-01-20,0.139691820415,0.0
2006-01-23,0.175325588307,0.0
2006-01-24,0.172527250729,0.0
2006-01-25,0.178028032031,0.0
2006-01-26,0.221824847912,0.0
2006-01-27,0.238556620036,0.0
2006-01-30,0.233723769738,0.0
2006-01-31,0.24275580988,0.0
2006-02-01,0.111923604402,0.0
2006-02-02,0.118199841043,0.0
2006-02-03,0.116975436332,0.0
2006-02-06,0.106777308501,0.0
2006-02-07,0.128949205812,0.0
2006-02-08,0.123200301205,0.0
2006-02-09,0.127299518078,0.0
2006-02-10,0.151819354835,0.0
2006-02-13,,0.0
2006-02-14,,0.0
2006-02-15,,0.0
2006-02-16,,0.0
2006-02-17,0.299302749521,0.0
2006-02-21,0.280244410924,0.0
2006-02-22,0.344379519832,0.0
2006-02-23,0.445320215081,0.0
2006-02-24,0.359332408632,0.0
2006-02-27,0.384535052364,0.0
2006-02-28,0.472527369546,0.0
2006-03-01,0.198204982569,0.0
2006-03-02,0.181890106317,-100.0
2006-03-03,0.154481121565,-230.0
2006-03-06,0.149130252715,-340.0
2006-03-07,0.124173469942,-640.0
2006-03-08,0.157128588068,-340.0
2006-03-09,0.193440366245,-240.0
2006-03-10,0.189313547225,-280.0
2006-03-13,0.164935023664,-400.0
2006-03-14,,-400.0
2006-03-15,,-400.0
2006-03-16,,-400.0
2006-03-17,,-400.0
2006-03-20,0.308582150982,-400.0
2006-03-21,0.367724933596,-20.0
2006-03-22,0.357905495824,-100.0
2006-03-23,0.280806918449,-650.0
2006-03-24,0.281337067741,-890.0
2006-03-27,0.311023663221,-750.0
2006-03-28,0.26513549009,-1100.0
2006-03-29,0.341484432941,-960.0
2006-03-30,0.426029693007,-760.0
2006-03-31,0.462066373583,-480.0
2006-04-03,0.205752361468,-480.0
2006-04-04,0.224290860327,-260.0
2006-04-05,0.215997171041,-380.0
2006-04-06,0.157361961359,-640.0
2006-04-07,0.191999321753,-380.0
2006-04-10,0.213021994657,-370.0
2006-04-11,0.232290033299,-260.0
2006-04-12,,-260.0
2006-04-13,,-260.0
2006-04-17,,-260.0
2006-04-18,,-260.0
2006-04-19,0.368659461756,-260.0
2006-04-20,0.353671315326,-250.0
2006-04-21,0.350467165959,-130.0
2006-04-24,0.456198537462,570.0
2006-04-25,0.580262175835,1300.0
2006-04-26,0.543604745995,1300.0
2006-04-27,0.501979432201,1330.0
2006-04-28,0.540302937246,1330.0
2006-05-01,0.166476019899,1330.0
2006-05-02,0.157004208262,1170.0
2006-05-03,0.1958128178,1530.0
2006-05-04,0.216619228129,1890.0
2006-05-05,0.213189285476,2020.0
2006-05-08,0.198662205045,2180.0
2006-05-09,0.196463929346,2240.0
2006-05-10,0.189631036984,2190.0
2006-05-11,0.160628664926,1890.0
2006-05-12,0.151531148976,1920.0
2006-05-15,,1920.0
2006-05-16,,1920.0
2006-05-17,,1920.0
2006-05-18,,1920.0
2006-05-19,0.169342082723,1920.0
2006-05-22,0.150827564222,1730.0
2006-05-23,0.14498983171,1410.0
2006-05-24,0.160377369142,1360.0
2006-05-25,0.174254535709,1290.0
2006-05-26,0.192507446672,1300.0
2006-05-30,0.218206098548,1210.0
2006-05-31,0.257057429673,1570.0
2006-06-01,0.0854065178319,1570.0
2006-06-02,0.0647592188853,1540.0
2006-06-05,0.0786557430164,1720.0
2006-06-06,0.0861364318888,1850.0
2006-06-07,0.117509044113,2160.0
